slice,filepath,duration_s,window_s,audio_fraction
sonics_val,/home/jovyan/Thesis/Code/data/sonics_real_encoded/griffin256/real_18750.mp3,200.86,30,1.0
sonics_val,/home/jovyan/Thesis/Code/data/sonics_fake_encoded/griffin256/fake_00438_udio_1.mp3,131.11,30,1.0
sonics_val,/home/jovyan/Thesis/Code/data/sonics_real_encoded/encodec6/real_13391.mp3,159.48843537414967,30,1.0
sonics_val,/home/jovyan/Thesis/Code/data/sonics_fake/fake_20839_suno_0.mp3,80.0,30,1.0
sonics_val,/home/jovyan/Thesis/Code/data/sonics_real_encoded/lac2/real_00526.mp3,44.89578231292517,30,1.0
sonics_val,/home/jovyan/Thesis/Code/data/sonics_real_encoded/encodec6/real_11235.mp3,252.1578231292517,30,1.0
sonics_val,/home/jovyan/Thesis/Code/data/sonics_fake/fake_37550_suno_0.mp3,120.0,30,1.0
sonics_val,/home/jovyan/Thesis/Code/data/sonics_fake/fake_05908_suno_0.mp3,222.68,30,1.0
sonics_val,/home/jovyan/Thesis/Code/data/sonics_real_encoded/griffin512/real_01849.mp3,175.3,30,1.0
sonics_val,/home/jovyan/Thesis/Code/data/sonics_fake/fake_13090_suno_0.mp3,80.0,30,1.0
sonics_val,/home/jovyan/Thesis/Code/data/sonics_real_encoded/lac14/real_10825.mp3,236.00761904761904,30,1.0
sonics_val,/home/jovyan/Thesis/Code/data/sonics_fake/fake_19384_udio_0.mp3,32.8106875,30,1.0
sonics_val,/home/jovyan/Thesis/Code/data/sonics_fake/fake_30127_udio_1.mp3,32.8106875,30,1.0
sonics_val,/home/jovyan/Thesis/Code/data/sonics_real_encoded/griffin256/real_04947.mp3,185.97,30,1.0
sonics_val,/home/jovyan/Thesis/Code/data/sonics_real_encoded/griffin256/real_18631.mp3,175.59,30,1.0
sonics_val,/home/jovyan/Thesis/Code/data/sonics_fake_encoded/lac14/fake_06447_suno_1.mp3,210.00707482993198,30,1.0
sonics_val,/home/jovyan/Thesis/Code/data/sonics_fake_encoded/griffin256/fake_09973_udio_0.mp3,32.810861678004535,30,1.0
sonics_val,/home/jovyan/Thesis/Code/data/sonics_fake_encoded/lac2/fake_10205_suno_1.mp3,104.6465306122449,30,1.0
sonics_val,/home/jovyan/Thesis/Code/data/sonics_fake/fake_41500_udio_0.mp3,131.1146875,30,1.0
sonics_val,/home/jovyan/Thesis/Code/data/sonics_fake/fake_50280_suno_1.mp3,120.0,30,1.0
sonics_val,/home/jovyan/Thesis/Code/data/sonics_real_encoded/lac14/real_11100.mp3,234.02231292517007,30,1.0
sonics_val,/home/jovyan/Thesis/Code/data/sonics_real_encoded/encodec6/real_01224.mp3,142.24761904761905,30,1.0
sonics_val,/home/jovyan/Thesis/Code/data/sonics_fake_encoded/lac7/fake_09518_udio_1.mp3,131.11727891156463,30,1.0
sonics_val,/home/jovyan/Thesis/Code/data/sonics_fake/fake_24372_udio_0.mp3,131.1146875,30,1.0
